name,chrom.num,wings.present,wings.absent,
ADCAHA_Abacetus_sp,41,,,
ADCAHA_Abax_ovalis,35,,,
ADCAHA_Abax_parallelepipedus,35,0,1,
ADCAHA_Acinopus_picipes,37,,,
ADDYAG_Agabus_biguttatus,43,,,
ADCAHA_Agonum_marginatum,37,,,
ADCAHA_Agonum_muelleri,37,1,0,
ADCAHA_Amara_sp,33.7,0.85,0.15,G
ADCACI_Amblycheila_baroni,44,,,
ADCAHA_Amblystomus_sp,24,,,
ADCAPS_Amblytelus_curtus,30,,,
ADCAHA_Amphasia_sericea,29,1,0,
ADCAHA_Anisodactylus_hispanus,37,0.97,0.03,G
ADCAHA_Anthia_sp,35,,,
ADCAHA_Apenes_sp,36,0.83,0.17,G
ADCABR_Aptinus_displosor,32,,,
ADCAPA_Arthropterus_sp,46,,,
ADCATR_Bembidion_aenulum,24,1,0,
ADCATR_Bembidion_americanum,24,1,0,
ADCATR_Bembidion_antiquum,24,0.89,0.11,G
ADCATR_Bembidion_arenobilis,24,0.89,0.11,G
ADCATR_Bembidion_articulatum,26,0.89,0.11,G
ADCATR_Bembidion_balli,24,1,0,
ADCATR_Bembidion_bellorum,24,0.89,0.11,G
ADCATR_Bembidion_bifossulatum,24,1,0,
ADCATR_Bembidion_californicum,24,1,0,
ADCATR_Bembidion_chalceum,26,1,0,
ADCATR_Bembidion_concolor,24,1,0,
ADCATR_Bembidion_confusum,24,1,0,
ADCATR_Bembidion_coxendix,23,1,0,
ADCATR_Bembidion_decorum,24,0.89,0.11,G
ADCATR_Bembidion_honestum,24,1,0,
ADCATR_Bembidion_inaequale,22,1,0,
ADCATR_Bembidion_insulatum,24,1,0,
ADCATR_Bembidion_integrum,24,0.89,0.11,G
ADCATR_Bembidion_lampros,23,0.5,0.5,
ADCATR_Bembidion_lapponicum,24,1,0,
ADCATR_Bembidion_levettei,22,1,0,
ADCATR_Bembidion_levettei_carrianum,22,0.89,0.11,G
ADCATR_Bembidion_levigatum,24,1,0,
ADCATR_Bembidion_louisella,24,0.89,0.11,G
ADCATR_Bembidion_mexicanum,24,1,0,
ADCATR_Bembidion_obtusum,24,0.5,0.5,
ADCATR_Bembidion_planatum,24,1,0,
ADCATR_Bembidion_properans,24,1,0,
ADCATR_Bembidion_punctulatum,24,0.89,0.11,G
ADCATR_Bembidion_quadrimaculatum,23.3,0.5,0.5,
ADCATR_Bembidion_rapidum,24,1,0,
ADCATR_Bembidion_rothfelsi,34,0.89,0.11,G
ADCATR_Bembidion_ruficorne,26,0.89,0.11,G
ADCATR_Bembidion_rufotinctum,24,1,0,
ADCATR_Bembidion_sejunctum,24,0.5,0.5,
ADCATR_Bembidion_tairuense,24,0.89,0.11,G
ADCATR_Bembidion_tetracolum,24.3,0.5,0.5,
ADCATR_Bembidion_tibiale,24,0.89,0.11,G
ADCATR_Bembidion_transversale,24,1,0,
ADCATR_Bembidion_umbratum,24,1,0,
ADCABR_Brachinus_sp,27.9,0.84,0.16,G
ADCAHA_Bradybaenus_sp,36.5,,,
ADCAHA_Calathus_abaxoides,55,0.36,0.64,G
ADCAHA_Calathus_ambiguus,37,0.36,0.64,G
ADCAHA_Calathus_ascendens,23.5,0.36,0.64,G
ADCAHA_Calathus_asturiensis,39,0.36,0.64,G
ADCAHA_Calathus_auctus,37,0.36,0.64,G
ADCAHA_Calathus_brevis,37,0.36,0.64,G
ADCAHA_Calathus_circumseptus,43,0.36,0.64,G
ADCAHA_Calathus_erratus,37,0.36,0.64,G
ADCAHA_Calathus_freyi,36,0.36,0.64,G
ADCAHA_Calathus_fuscipes,37,0.5,0.5,
ADCAHA_Calathus_granatensis,37,0.36,0.64,G
ADCAHA_Calathus_melanocephalus,37.5,0,1,
ADCAHA_Calathus_micropterus,37,0.36,0.64,G
ADCAHA_Calathus_mollis,39,0.36,0.64,G
ADCAHA_Calathus_rectus,37,0.36,0.64,G
ADCAHA_Calathus_rotundatus,39,0.36,0.64,G
ADCACA_Calosoma_inquistor,28,0.58,0.42,G
ADCACA_Carabus_auronitens,28.5,0.06,0.94,G
ADCACA_Carabus_blaptoides,28,0.06,0.94,G
ADCACA_Carabus_caelatus,28,0.06,0.94,G
ADCACA_Carabus_cancellatus,27.5,0,1,
ADCACA_Carabus_creutzeri,28,0.06,0.94,G
ADCACA_Carabus_fruhstorferi,28,0.06,0.94,G
ADCACA_Carabus_granulatus,22.5,0,1,
ADCACA_Carabus_hispanus,28,0.06,0.94,G
ADCACA_Carabus_hortensis,28,0.06,0.94,G
ADCACA_Carabus_lineatus,28,0.06,0.94,G
ADCACA_Carabus_melancholicus,28,0.06,0.94,G
ADCACA_Carabus_monticola,28,0.06,0.94,G
ADCACA_Carabus_nemoralis,28.5,0,1,
ADCACA_Carabus_problematicus,28,0.06,0.94,G
ADCACA_Carabus_punctatoauratus,28.5,0.06,0.94,G
ADCACA_Carabus_rutilans,29,0.06,0.94,G
ADCACA_Carabus_solieri,27,0.06,0.94,G
ADCACA_Carabus_splendens,29,0.06,0.94,G
ADCACA_Carabus_violaceus,28,0.06,0.94,G
ADCASC_Carenum_interruptum,24,,,
ADCAHA_Carterus_fulvipes,57,,,
ADCAHA_Carterus_rotundicollis_M,57,,,
ADCAHA_Chlaenius_sp,36.5,0.93,0.07,G
ADCACI_Cicindela_aurulenta,22,,,
ADCACI_Cicindela_dorsalis,22,,,
ADCACI_Cicindela_hybrida,22,,,
ADCACI_Cicindela_marutha,23,,,
ADCACI_Cicindela_punctulata,22,,,
ADCACI_Cicindela_repanda,21.5,,,
ADCACI_Cicindela_sedecimpunctata,21,,,
ADCACI_Cicindela_sexguttata,21.3,,,
ADCACI_Cicindela_splendida,22,,,
ADCACI_Cicindela_tranquebarica,21.3,,,
ADCASC_Clivina_sp,36,0.83,0.17,G
ADCAHA_Colliuris_pennsylvanica,18,1,0,
ADCAHA_Craspedophorus_sp,12,,,
ADCACI_Ctenostoma_sp,17,,,
ADCACA_Cychrus_caraboides,23,0,1,G
ADCACI_Cylindera_cognata,21,,,
ADCAHA_Cymindis_sp,35.4,0.45,0.55,G
ADCAHA_Demetrias_atricapillus,35,,,
ADCAHA_Dicrochile_sp,55,,,
ADCAHA_Diplocheila_sp,38.9,1,0,G
ADCAHA_Dixus_capito,69,,,
ADCAHA_Dromius_sp,25,1,0,G
ADCAHA_Drypta_sp,33,,,
ADCASC_Dyschirius_sp,26.4,,,
ADCAHA_Egadroma_marginatum,39,,,
ADCACI_Ellipsoptera_marginata,23,,,
ADCAHA_Galerita_sp,30,0.8,0.2,G
ADCAHA_Graphipterus_sp,8,,,
ADCAHA_Harpalus_aesculanus,37,0.83,0.17,G
ADCAHA_Harpalus_affinis,37,1,0,
ADCAHA_Harpalus_anxius,37,0.83,0.17,G
ADCAHA_Harpalus_attenuatus,37,0.83,0.17,G
ADCAHA_Harpalus_contemptus,37,0.83,0.17,G
ADCAHA_Harpalus_decipiens,37,0.83,0.17,G
ADCAHA_Harpalus_dimidiatus,35,0.83,0.17,G
ADCAHA_Harpalus_distinguendus,37,0.83,0.17,G
ADCAHA_Harpalus_ebeninus,37,0.83,0.17,G
ADCAHA_Harpalus_honestus,37,0.83,0.17,G
ADCAHA_Harpalus_pennsylvanicus,37,1,0,
ADCAHA_Harpalus_rubripes,37,1,0,
ADCAHA_Harpalus_serripes,38,0.83,0.17,G
ADCAHA_Harpalus_wagneri,30,0.83,0.17,G
ADCAHA_Lebia_sp,32,1,0,G
ADCAHA_Licinus_sp,30,1,0,G
ADCACI_Lophyra_sp,22.5,,,
ADCACI_Lophyridia_lunulata,22,,,
ADCALO_Loricera_pilicornis,19,1,0,
ADCAHA_Loxandrus_sp,34.33,0.97,0.03,G
ADCAHA_Macrocheilus_sp,34,,,
ADCACI_Mantichora_amygdaloides,38,,,
ADCAPS_Mecyclothorax_sp,19.5,,,
ADCACI_Megacephala_brasiliensis,12,,,
ADCACI_Megacephala_sobrina,29,,,
ADCACI_Megacephala_whelani,26,,,
ADCAHA_Microlestes_sp,31,0.67,0.33,
ADCACI_Myriochile_undulata,25,,,
ADCAPA_Mystropomus_subcostatus,43,,,
ADCANE_Nebria_brevicollis,30,1,0,
ADCAHA_Nesarpalus_sp,37,,,
ADCAHA_Notagonum_sp,28,,,
ADCAHA_Notiobia_sp,38.33,1,0,G
ADCANE_Notiophilus_sp,24,0.5,0.5,G
ADCAPS_Olisthopus_sp,41,1,0,
ADCACI_Omus_californicus,36,,,
ADCAHA_Oodes_sp,25.33,1,0,G
ADCAHA_Ophonus_azureus,37,1,0,G
ADCAHA_Ophonus_longicollis,37,1,0,G
ADCAHA_Ophonus_stictus,37,1,0,G
ADCAHA_Orthomus_velocissimus,34,,,
ADCACI_Oxycheila_sp,29,,,
ADCACA_Pamborus_alternans,22,,,
ADCACA_Pamborus_opacus,22,,,
ADCACA_Pamborus_tropicus,22,,,
ADCAHA_Parophonus_hespericus,39,,,
ADCAPA_Penetretus_sp,32.75,,,
ADCACI_Pentacomia_sp,21,,,
ADCAHA_Percus_politus,63,,,
ADCATR_Perileptus_areolatus,27,,,
ADCABR_Pheropsophus_sp,30.55,,,
ADCAHA_Platyderus_lusitanicus,23,,,
ADCAHA_Platyderus_varians,37,,,
ADCAHA_Platymetopus_sp,40,,,
ADCAHA_Poecilus_chalcites,37,1,0,
ADCAHA_Poecilus_cupreus,43.5,0.72,0.28,G
ADCAHA_Poecilus_lucublandus,27,0.17,0.83,
ADCAHA_Poecilus_versicolor,37,0.72,0.28,G
ADCATR_Pogonus_chalceus,22,1,0,G
ADCABR_Promecoderus_sp,46,,,
ADCACI_Prothyma_sp,25,,,
ADCAHA_Pterostichus_alacer,37,0.09,0.91,G
ADCAHA_Pterostichus_angustus,37,0,1,
ADCAHA_Pterostichus_anthracinus,37,0.09,0.91,G
ADCAHA_Pterostichus_aterrimus,37,0.09,0.91,G
ADCAHA_Pterostichus_flavofemoratus,37,0.09,0.91,G
ADCAHA_Pterostichus_globosus,37,0.09,0.91,G
ADCAHA_Pterostichus_herculeanus,37,0,1,
ADCAHA_Pterostichus_interruptus,37,0.09,0.91,G
ADCAHA_Pterostichus_melanarius,37,0.5,0.5,
ADCAHA_Pterostichus_nemoralis,37,0.09,0.91,G
ADCAHA_Pterostichus_niger,37,0.09,0.91,G
ADCAHA_Pterostichus_nigrita,37,0.09,0.91,G
ADCAHA_Pterostichus_oblongopunctatus,28,0.09,0.91,G
ADCAHA_Pterostichus_spinolae,37,0.09,0.91,G
ADCAHA_Pterostichus_ziegleri,34,0.09,0.91,G
ADCAHA_Sarothrocrepis_sp,33,,,
ADCASC_Scarites_buparius,37.67,0.4,0.6,G
ADCASC_Scarites_eurytus,45,0.33,0.67,G
ADCASC_Scarites_hespericus,53,0.33,0.67,G
ADCASC_Scarites_laevigatus,61,0.33,0.67,G
ADCASC_Scarites_occidentalis_M,41,0.33,0.67,G
ADCASC_Scarites_terricola,57,0.33,0.67,G
ADCAHA_Sphallomorpha_sp,37,,,
ADCAHA_Stenolophus_lecontei,25,1,0,
ADCAHA_Stenolophus_mixtus,36,0.9,0.1,G
ADCAHA_Stenolophus_teutonus,24,0.9,0.1,G
ADCAHA_Stomis_sp,37,0,1,
ADCAHA_Syntomus_sp,40,,,
ADCACI_Taenidia_circumdata,22,,,
ADCACI_Therates_sp,23,,,
ADCATR_Trechus_obtusus,23,0.5,0.5,
ADCATR_Trechus_quadristriatus,23,1,0,
ADCAHA_Zabrus_sp,55.8,,,