genome.size,chrom.num
1.71,14.00
0.17,16.00
0.22,16.00
0.23,16.00
0.25,16.00
0.31,16.00
0.40,16.00
0.41,16.00
0.62,16.00
0.70,16.00
0.88,16.00
0.17,18.00
0.25,18.00
0.25,18.00
0.26,18.00
0.39,18.00
0.39,18.00
0.47,18.00
0.49,18.00
0.66,18.00
0.74,18.00
0.93,18.00
0.95,18.00
1.11,18.00
0.64,18.00
1.02,18.00
0.92,18.00
0.84,18
0.16,18
0.67,18.00
0.49,18.00
0.35,18.00
0.41,18.00
0.32,18.00
0.75,18.00
0.65,18.00
0.64,18.00
0.59,18.00
0.49,18.00
0.25,18.00
0.28,18.00
0.23,18.00
0.28,19.00
1.24,19.3
0.16,20.00
0.18,20.00
0.21,20.00
0.21,20.00
0.23,20.00
0.24,20.00
0.25,20.00
0.25,20.00
0.26,20.00
0.26,20.00
0.26,20.00
0.26,20.00
0.27,20.00
0.27,20.00
0.27,20.00
0.28,20.00
0.28,20.00
0.29,20.00
0.30,20.00
0.30,20.00
0.32,20.00
0.34,20.00
0.35,20.00
0.36,20.00
0.38,20.00
0.42,20.00
0.43,20.00
0.44,20.00
0.49,20.00
0.52,20.00
0.56,20.00
0.59,20.00
0.80,20.00
0.81,20.00
0.82,20.00
0.83,20.00
0.87,20.00
0.91,20.00
1.07,20.00
1.31,20.00
1.61,20.00
0.36,20.00
0.74,20.00
0.33,20.00
0.19,20.00
0.43,20.00
1.1,20
0.50,20.00
1.31,20.00
0.21,20.00
0.86,20.30
1.8,21
0.18,22.00
0.35,22.00
0.91,22.00
0.68,22
0.755,22
0.80,22.00
1.17,23.00
0.25,24.00
0.25,24.00
0.35,24.00
0.42,24.00
0.56,24.00
0.62,24.00
0.84,24.00
0.87,24.00
0.89,24.00
0.91,24.00
0.99,24.00
1.36,24.00
0.24,26.00
0.28,26.00
0.29,26.00
0.46,26.00
0.75,26
0.60,28.00
0.90,28.00
1.17,28.00
1.18,28.00
0.23,28.00
0.35,30.00
0.36,30.00
0.37,30.00
0.59,30.00
0.71,30.00
1.33,30.00
0.46,32.00
0.20,34.00
0.35,34.00
0.52,34.00
0.60,34.00
0.90,34.00
0.92,34.00
1.06,34.00
1.46,34.00
1.49,34.00
1.98,34.00
0.46,35.00
0.51,35.00
0.80,36.00
0.86,37.00
1.22,38.00
0.63,40.00
0.75,40.00
0.91,40.00
1.22,40.00
1.98,40.00
3.69,40.00
1.01,42.00
1.07,46.00
1.21,46.00
1.79,52.00